tsr_state_id,tsr_state_name,bsr_state_id,bsr_state_name,mapping_type,confidence,notes
,,64,STATE_64,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,163,STATE_163,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,605,STATE_605,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,752,STATE_752,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,753,STATE_753,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,804,STATE_804,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,811,STATE_811,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,813,STATE_813,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,827,STATE_827,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,831,STATE_831,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,860,STATE_860,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,861,STATE_861,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,873,STATE_873,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,874,STATE_874,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,883,STATE_883,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,884,STATE_884,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,890,STATE_890,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,891,STATE_891,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,895,STATE_895,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,900,STATE_900,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,910,STATE_910,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,927,STATE_927,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,930,STATE_930,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,948,STATE_948,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,973,STATE_973,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,1000,STATE_1000,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,1001,STATE_1001,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,1003,STATE_1003,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,1004,STATE_1004,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,1021,STATE_1021,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,1029,STATE_1029,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,1030,STATE_1030,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,1031,STATE_1031,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,1032,STATE_1032,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,1033,STATE_1033,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,1034,STATE_1034,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,1038,STATE_1038,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,1040,STATE_1040,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,1043,STATE_1043,new_bsr_state,1.000,no TSR state mapped to this BSR state
,,1044,STATE_1044,new_bsr_state,1.000,no TSR state mapped to this BSR state
